# Provided by Libamtrack
# Generated: 17/8/2026 @ 19:58:59
# Radial dose distribution
"r_m_x","r_m_y"
1e-8,84943.48636479677
1.0162650893929951e-8,80254.41015299622
1.0327947319189524e-8,75797.00103498812
1.0495932305582288e-8,71561.24797426075
1.066664958279541e-8,67537.51414562302
1.0840143591783331e-8,63716.52458278458
1.1016459496336593e-8,60089.35421718093
1.1195643194838817e-8,56647.416295036826
1.1377741332214949e-8,53382.45116008237
1.1562801312073801e-8,50286.51538974898
1.1750871309048124e-8,47351.97127306717
1.1942000281335373e-8,44571.47661887849
1.2136237983442468e-8,41937.97488334829
1.2333634979137823e-8,39444.68560613245
1.2534242654614072e-8,37085.09514490671
1.2738113231864863e-8,34852.947698312644
1.294529978227924e-8,32742.236607711227
1.3155856240457133e-8,30747.195928460664
1.3369837418249562e-8,28862.292261754934
1.3587299019027203e-8,27082.216838366905
1.3808297652181035e-8,25401.87784594283
1.4032890847858846e-8,23816.392991785928
1.4261137071941415e-8,22321.08229335343
1.4493095741262299e-8,20911.4610889671
1.4728827239075169e-8,19583.23326150792
1.496839293077271e-8,18332.284668127482
1.5211855179861204e-8,17154.676769263828
1.5459277364194943e-8,16046.640450497483
1.5710723892474682e-8,15004.570031025143
1.5966260221014446e-8,14025.01745276241
1.622595287078107e-8,13104.68664431535
1.648986944471085e-8,12240.428054282062
1.6758078645307894e-8,11429.233348560003
1.703065029252867e-8,10668.230266544435
1.730765534195749e-8,9954.677631304916
1.758916590327758e-8,9285.960509023691
1.7875255259042612e-8,8659.585513169939
1.8165997883753547e-8,8073.176249067892
1.846146946324576e-8,7524.468894695027
1.8761746914391503e-8,7011.307913718918
1.906690840512283e-8,6531.641896947295
1.9377033374780206e-8,6083.519528526416
1.969220255479206e-8,5665.085673377225
2.001249798969072e-8,5274.577582507276
2.0338003058470176e-8,4910.321212979254
2.06688024962912e-8,4570.727659453739
2.100498241653954e-8,4254.289694354884
2.134663033324285e-8,3959.578413833042
2.1693835183852266e-8,3685.2399868177627
2.2046687352394527e-8,3429.992504568354
2.2405278693000638e-8,3192.622928237199
2.2769702553817265e-8,2971.98413206327
2.3140053801307013e-8,2766.992039909967
2.351642884494399e-8,2576.6228529523282
2.3898925662311016e-8,2399.9103664042404
2.428764382460505e-8,2235.943373256099
2.468268452255748e-8,2083.8631530679486
2.5084150592775977e-8,1942.861043932303
2.549214654451483e-8,1812.176095784746
2.5906778586880698e-8,1691.09280329917
2.6328154656480847e-8,1578.938916658278
2.675638444552111e-8,1475.0833285387885
2.7191579430360855e-8,1378.9340356948496
2.7633852900532405e-8,1289.936173562678
2.8083319988232443e-8,1207.5701223444619
2.8540097698293132e-8,1131.3496830603528
2.9004304938640686e-8,1060.8203220841672
2.947606255124937e-8,995.5574827012477
2.9955493343598956e-8,935.1649622462967
3.044272212064387e-8,879.2733533948074
3.093787571730225e-8,827.5385481945325
3.144108303147355e-8,779.6403034332268
3.195247505759305e-8,735.2808659461582
3.247218492073225e-8,694.1836564717198
3.300034791125383e-8,656.092010666261
3.353710152003032e-8,620.7679758902124
3.408258547423557e-8,587.9911623770461
3.4636941773718406e-8,557.5576473948017
3.5200314727967907e-8,529.2789310071988
3.577285099367987e-8,502.98094203793397
3.6354699612934366e-8,478.50309283799777
3.6946012051994233e-8,455.69738145193264
3.75469422407346e-8,434.42753977524455
3.815764661271377e-8,414.5682262918382
3.877828414589588e-8,396.00426197771924
3.9409016404035845e-8,378.6299079554434
4.00500075787375e-8,362.34818348317077
4.07014245321958e-8,347.0702228628759
4.1363436840634213e-8,332.7146698544809
4.203621683844864e-8,319.2071081865642
4.271993966306934e-8,306.47952676002143
4.3414783300552524e-8,294.46981814872936
4.4120928631913524e-8,283.12130901100454
4.483855948021356e-8,272.3823210375225
4.5567862658412365e-8,262.20576107545963
4.630902801799917e-8,252.5487390849317
4.706224849841464e-8,243.37221260239122
4.782772017727671e-8,234.64065640646254
4.860564232142328e-8,226.32175610472868
4.9396217438785176e-8,218.38612438517512
5.019965133110285e-8,210.8070387032727
5.101615314750042e-8,203.56019920494876
5.184593543893125e-8,196.6235057168378
5.2689214213508926e-8,189.97685266810035
5.354620899273832e-8,183.60194084259444
5.4417142868661215e-8,177.48210489613604
5.530224256193138e-8,171.60215561081074
5.620173848083429e-8,165.9482358966297
5.7115864781266804e-8,160.50768959007453
5.804485942769233e-8,155.26894213904995
5.8988964255087587e-8,150.22139230427865
5.994842503189678e-8,145.35531404802504
6.092349152400986e-8,140.66176782204283
6.191441755978126e-8,136.13252050760545
6.292146109610633e-8,131.7599733012235
6.394488428557238e-8,127.53709687999856
6.498495354470194e-8,123.45737322034022
6.604193962330616e-8,119.51474348282615
6.711611767496603e-8,115.70356141416632
6.820776732866013e-8,112.01855175440654
6.931717276155741e-8,108.45477317355234
7.044462277299382e-8,105.0075852966115
7.15904108596524e-8,101.67261940953217
7.275483529196589e-8,98.44575247060187
7.393819919176236e-8,95.32308408247854
7.514081061117346e-8,92.3009161091258
7.636298261282632e-8,89.37573464946635
7.760503335133968e-8,86.544194105543
7.886728615614559e-8,83.8031031073711
8.015006961565823e-8,81.14941207948952
8.14537176628117e-8,78.5802022554824
8.277856966198912e-8,76.09267596648188
8.412497049736565e-8,73.68414804790534
8.549327066268839e-8,71.35203822548118
8.688382635251655e-8,69.0938643570189
8.82969995549457e-8,66.90723642044829
8.973315814584015e-8,64.78985115144906
9.119267598459802e-8,62.739487245582076
9.267593301147395e-8,60.75400105029254
9.41833153464848e-8,58.83132268154761
9.571521538992404e-8,56.9694525082777
9.727203192451094e-8,55.16645795527702
9.88541702192014e-8,53.420470581862766
1.0046204213468706e-7,51.729683399459994
1.020960662306106e-7,50.09234839644068
1.0375666787452464e-7,48.50677424306646
1.0544427935262309e-7,46.97132415332658
1.0715933998227347e-7,45.484413883885765
1.0890229622637951e-7,44.044509853315766
1.1067360180960401e-7,42.65012736733173
1.1247371783648198e-7,41.299828937937505
1.1430311291145488e-7,39.99222268624708
1.1616226326085731e-7,38.72596082033194
1.180516528568878e-7,37.49973818078391
1.1997177354359592e-7,36.31229084781119
1.2192312516491867e-7,35.16239480463242
1.2390621569479943e-7,34.04886465272555
1.2592156136942307e-7,32.97055237514744
1.2796968682160226e-7,31.92634614468723
1.3005112521734924e-7,30.915169174069813
1.3216641839466902e-7,29.935978605798994
1.3431611700461032e-7,28.987764439537724
1.365007806546103e-7,28.06954849517588
1.3872097805417119e-7,27.18038340994364
1.40977287162906e-7,26.319351668099575
1.4327029534099262e-7,25.485564661862764
1.4560059950207469e-7,24.678161782374584
1.479688062686496e-7,23.896309539571583
1.50375532129984e-7,23.139200709931156
1.528214036025974e-7,22.40605351111892
1.5530705739335665e-7,21.696110802623483
1.5783314056522264e-7,21.0086393115136
1.6040031070569316e-7,20.342928882494398
1.6300923609798544e-7,19.698291751476887
1.6566059589500305e-7,19.07406184190788
1.6835508029613212e-7,18.469594083137125
1.7109339072691358e-7,17.884263750125374
1.738762400216375e-7,17.317465823822474
1.7670435260890731e-7,16.76861437156731
1.7957846470022253e-7,16.23714194688345
1.8249932448162848e-7,15.722499008065048
1.8546769230848342e-7,15.224153354966804
1.884843409033934e-7,14.74158958343082
1.915500555573669e-7,14.274308556800808
1.9466563433424066e-7,13.821826893991718
1.978318882784312e-7,13.383676473598966
2.010496416260649e-7,12.95940395354809
2.043197320195425e-7,12.548570305800485
2.0764301072559318e-7,12.150750365646491
2.1102034285687562e-7,11.76553239513116
2.144526075971832e-7,11.392517660172304
2.179406984303123e-7,11.031320020944023
2.2148552337265314e-7,10.681565535112046
2.2508800520956366e-7,10.342892073520037
2.287490817355882e-7,10.01494894793839
2.3246970599858308e-7,9.697396550499198
2.3625084654781336e-7,9.389906004452401
2.400934876860843e-7,9.092158825889806
2.439986297259745e-7,8.803846596094326
