E_MeV_u,LET_keV_um
5.245194598,0.007972314
5.335490743,0.007867405
5.427341339,0.007763814
5.520773145,0.007661546
5.615813382,0.007560589
5.712489738,0.007460913
5.81083038,0.007362479
5.910863959,0.007265233
6.012619618,0.007169116
6.116127003,0.007074116
6.22141627,0.006980268
6.328518094,0.006887602
6.437463679,0.006796148
6.548284764,0.006705919
6.661013637,0.006616874
6.77568314,0.006528937
6.892326681,0.006442021
7.010978243,0.006356028
7.131672395,0.006270951
7.254444299,0.006186874
7.379329725,0.006103887
7.506365056,0.006022079
7.635587303,0.005941466
7.767034114,0.005861985
7.900743785,0.005783552
8.036755271,0.005706082
8.175108198,0.005629559
8.315842873,0.005554011
8.459000299,0.005479461
8.604622184,0.005405906
8.752750953,0.005333274
8.903429762,0.005261474
9.05670251,0.005190418
9.212613852,0.005120165
9.371209211,0.005050836
9.532534794,0.004982553
9.696637599,0.004915307
9.863565439,0.004848994
10.03336694,0.004783498
10.20609159,0.004718779
10.38178969,0.004654853
10.56051244,0.004591734
10.7423119,0.004529433
10.92724105,0.004467956
11.11535375,0.004407307
11.30670482,0.004347485
11.50135001,0.004288483
11.69934601,0.00423029
11.90075052,0.004172889
12.10562222,0.004116256
12.31402078,0.004060362
12.52600693,0.004005169
12.74164243,0.003950666
12.9609901,0.003896861
13.18411384,0.003843759
13.41107866,0.003791363
13.64195069,0.003739672
13.87679719,0.003688679
14.11568657,0.003638375
14.35868844,0.003588744
14.60587359,0.003539766
14.85731404,0.003491414
15.11308304,0.003443661
15.37325511,0.003396509
15.63790605,0.003349968
15.90711297,0.003304045
16.18095428,0.003258746
16.45950978,0.003214072
16.74286062,0.003170022
17.03108935,0.003126592
17.32427995,0.003083771
17.62251783,0.003041549
17.92588988,0.00299992
18.23448448,0.002958878
18.54839155,0.002918416
18.86770254,0.002878519
19.19251047,0.002839169
19.52290998,0.002800345
19.85899733,0.002762016
20.20087042,0.002724159
20.54862887,0.002686778
20.90237399,0.002649881
21.26220884,0.002613477
21.62823825,0.00257757
22.00056887,0.002542164
22.37930917,0.00250726
22.76456949,0.002472855
23.15646208,0.002438944
23.55510111,0.002405521
23.96060271,0.002372571
24.37308504,0.002340081
24.79266826,0.002308029
25.21947461,0.002276397
25.65362845,0.002245186
26.09525625,0.002214405
26.54448669,0.002184057
27.00145064,0.002154147
27.46628123,0.002124676
27.9391139,0.00209564
28.42008638,0.002067027
28.90933883,0.002038822
29.40701376,0.002011006
29.91325618,0.001983556
30.42821357,0.001956457
30.95203597,0.001929713
31.48487598,0.001903331
32.02688884,0.001877314
32.57823247,0.001851666
33.13906749,0.001826386
33.7095573,0.001801473
34.2898681,0.001776925
34.88016897,0.001752736
35.48063188,0.001728899
36.09143178,0.001705411
36.7127466,0.001682265
37.34475738,0.001659453
37.98764824,0.001636964
38.64160648,0.001614783
39.30682262,0.001592892
39.98349048,0.001571272
40.67180718,0.001549915
41.37197328,0.001528837
42.08419275,0.00150805
42.8086731,0.001487571
43.54562539,0.001467414
44.29526433,0.001447593
45.05780833,0.001428123
45.83347953,0.001408998
46.62250394,0.001390196
47.42511142,0.001371691
48.2415358,0.001353449
49.07201495,0.001335433
49.91679081,0.001317603
50.77610952,0.001299938
51.65022141,0.001282457
52.53938116,0.001265182
53.44384781,0.001248137
54.36388488,0.001231347
55.29976041,0.001214835
56.25174706,0.001198602
57.22012218,0.00118264
58.2051679,0.001166935
59.2071712,0.001151472
60.22642402,0.001136235
61.26322329,0.001121216
62.31787109,0.001106412
63.39067467,0.00109182
64.48194659,0.001077435
65.59200479,0.001063251
66.72117266,0.001049269
67.86977918,0.001035488
69.03815899,0.001021906
70.22665249,0.00100852
71.43560592,0.00099533
72.66537152,0.000982331
73.91630756,0.000969522
75.1887785,0.000956897
76.48315505,0.000944454
77.79981432,0.000932195
79.13913992,0.000920119
80.50152203,0.000908224
81.88735758,0.000896511
83.29705033,0.000884975
84.73101096,0.000873615
86.18965727,0.000862426
87.6734142,0.0008514
89.18271404,0.000840531
90.71799651,0.000829811
92.27970891,0.000819246
93.86830622,0.000808847
95.48425127,0.000798623
97.12801485,0.000788567
98.80007586,0.000778664
100.5009214,0.000768895
102.2310471,0.000759256
103.9909569,0.000749751
105.7811637,0.000740381
107.6021888,0.000731148
109.454563,0.000722054
111.3388258,0.000713098
113.2555262,0.00070428
115.2052227,0.0006956
117.1884833,0.000687056
119.2058857,0.000678645
121.2580178,0.000670363
123.3454774,0.000662205
125.4688726,0.000654166
127.6288221,0.000646244
129.8259552,0.000638441
132.060912,0.000630757
134.3343437,0.000623192
136.6469125,0.000615747
138.9992922,0.000608419
141.3921682,0.000601208
143.8262377,0.000594109
146.3022097,0.00058712
148.8208056,0.000580236
151.3827591,0.000573453
153.9888168,0.00056677
156.6397379,0.00056019
159.3362945,0.000553711
162.0792725,0.000547335
164.8694709,0.00054106
167.7077027,0.000534886
170.5947946,0.000528811
173.5315879,0.000522832
176.5189382,0.000516946
179.5577158,0.000511153
182.648806,0.000505453
185.7931094,0.000499844
188.991542,0.000494323
192.2450358,0.00048889
195.5545385,0.00048354
198.9210144,0.00047827
202.3454442,0.000473076
205.8288257,0.000467959
209.3721737,0.00046292
212.9765204,0.000457959
216.6429161,0.000453076
220.3724289,0.000448272
224.1661453,0.000443544
228.0251707,0.000438893
231.9506293,0.000434319
235.9436647,0.000429823
240.0054403,0.000425405
244.1371395,0.000421064
248.3399659,0.000416799
252.6151442,0.00041261
256.9639197,0.000408494
261.3875595,0.000404449
265.8873523,0.000400471
270.4646092,0.000396555
275.1206637,0.000392699
279.8568722,0.000388898
284.6746147,0.000385154
289.5752947,0.000381469
294.5603401,0.000377841
299.6312031,0.000374272
304.7893612,0.000370763
310.036317,0.000367312
315.3735994,0.000363922
320.8027631,0.000360591
326.3253901,0.00035732
331.9430892,0.000354108
337.6574971,0.000350953
343.4702787,0.000347856
349.3831274,0.000344813
355.397766,0.000341824
361.5159467,0.000338887
367.7394521,0.000336003
374.0700952,0.000333171
380.5097205,0.000330388
387.0602041,0.000327653
393.7234544,0.000324964
400.5014127,0.000322318
407.3960537,0.000319715
414.4093862,0.000317155
421.5434533,0.000314638
428.8003335,0.000312167
436.1821411,0.00030974
443.6910267,0.000307359
451.3291779,0.000305024
459.0988201,0.000302733
467.0022169,0.000300488
475.0416708,0.000298286
483.2195241,0.000296127
491.5381593,0.000294009
500,0.000291931
