num_threads,warmup_s,wall_s,user_s,sys_s,voluntary_ctx_switches,involuntary_ctx_switches,max_rss_kb,f_t_final,ks,no_xy,no_z_with_buffer,total_time_steps,tracks_per_pulse,threading_layer,env_threading_layer,affinity_cpus,slurm_job_id
1,0.13599179894663393,22.967015351867303,22.833408000000002,0.02655899999999997,3,34,197056,0.5180043674840641,1.930485653734887,56,406,2496,719155,omp,omp,1,20646752
16,0.13598026218824089,21.558714939979836,271.767724,0.188875,37470,512,189288,0.518004367484063,1.930485653734891,56,406,2496,719155,omp,omp,16,20646752
64,0.15693373582325876,25.6208371038083,1031.077417,2.058974,129823,1094,174912,0.5180043674840629,1.9304856537348913,56,406,2496,719155,omp,omp,64,20646752
128,0.1684635889250785,50.874070626916364,4022.70536,15.847360000000002,446413,3051,176768,0.5180043674840631,1.9304856537348904,56,406,2496,719155,omp,omp,128,20646752
190,0.17278554197400808,41.00866930605844,3272.902548,50.217102,473046,2802,181644,0.5180043674840629,1.9304856537348913,56,406,2496,719155,omp,omp,190,20646752
1,0.13596767303533852,23.45119048305787,23.149796000000002,0.19615000000000002,36279,36310,198036,0.5180043674840641,1.930485653734887,56,406,2496,719155,workqueue,workqueue,1,20646752
16,0.1356068120803684,19.810546500142664,47.674793,1.267469,308790,150,193200,0.518004367484063,1.930485653734891,56,406,2496,719155,workqueue,workqueue,16,20646752
64,0.13846531277522445,18.91965742292814,126.30611299999998,5.713664,1192470,7358,177084,0.5180043674840629,1.9304856537348913,56,406,2496,719155,workqueue,workqueue,64,20646752
128,0.14527334203012288,29.93477876484394,181.143503,11.940104,2336081,33271,179404,0.5180043674840631,1.9304856537348904,56,406,2496,719155,workqueue,workqueue,128,20646752
190,0.14887421997264028,44.51229934813455,208.279902,18.912398000000003,3449635,17260,182544,0.5180043674840629,1.9304856537348913,56,406,2496,719155,workqueue,workqueue,190,20646752
