time_s,f_t
2.6477019959196887e-07,0.9999428879913392
5.295403991839377e-07,0.9998645917206078
7.943105987759066e-07,0.9997546160328903
1.0590807983678755e-06,0.9996122022598681
1.3238509979598443e-06,0.9994359439999095
1.5886211975518132e-06,0.9992260802858733
1.853391397143782e-06,0.9989806709055896
2.118161596735751e-06,0.9987012511956533
2.38293179632772e-06,0.9983868062268149
2.6477019959196887e-06,0.9980373088867022
2.9124721955116576e-06,0.9976628398012629
3.1772423951036264e-06,0.9972559113248863
3.4420125946955953e-06,0.9968172638387641
3.706782794287564e-06,0.9963536893142163
3.971552993879533e-06,0.9958443104774013
4.236323193471502e-06,0.9953150574275181
4.501093393063471e-06,0.9947419783159445
4.76586359265544e-06,0.9941498511664018
5.0306337922474085e-06,0.9935272869095729
5.295403991839377e-06,0.9928834112852748
5.560174191431346e-06,0.9922054703715066
5.824944391023315e-06,0.9914971994532391
6.089714590615284e-06,0.9907806185939599
6.354484790207253e-06,0.9900211838928004
6.619254989799222e-06,0.9892457040473042
6.884025189391191e-06,0.9884251432730546
7.1487953889831595e-06,0.9876061656761562
7.413565588575128e-06,0.9867282475210517
7.678335788167098e-06,0.9858560944135395
7.943105987759066e-06,0.9849261852679864
8.207876187351034e-06,0.9839761526212623
8.472646386943004e-06,0.9830397375116761
8.737416586534974e-06,0.9820388310560433
9.002186786126942e-06,0.9810250228841568
9.26695698571891e-06,0.9799867352075665
9.53172718531088e-06,0.9789284824373581
9.796497384902849e-06,0.9778562258950728
1.0061267584494817e-05,0.9767144081443929
1.0326037784086785e-05,0.9756014638005719
1.0590807983678755e-05,0.9744589572974003
1.0855578183270724e-05,0.9733246338883076
1.1120348382862692e-05,0.9720936369172464
1.138511858245466e-05,0.9708908850681799
1.164988878204663e-05,0.9696571109862324
1.19146589816386e-05,0.9683640687577162
1.2179429181230568e-05,0.9671103448020663
1.2444199380822536e-05,0.9658007551504987
1.2708969580414506e-05,0.9644774807374893
1.2973739780006475e-05,0.9631476100218168
1.3238509979598443e-05,0.9617693697119695
1.3503280179190411e-05,0.9603902601527625
1.3768050378782381e-05,0.9589720548870567
1.4032820578374351e-05,0.9575447971407874
1.4297590777966319e-05,0.9561444755972872
1.4562360977558287e-05,0.9546737011084754
1.4827131177150257e-05,0.9532044161498721
1.5091901376742226e-05,0.9517169527624523
1.5356671576334196e-05,0.9502000893998858
1.5621441775926162e-05,0.948746716074641
1.5886211975518132e-05,0.947232957671628
1.6150982175110102e-05,0.9457139992516651
1.6415752374702068e-05,0.9441566236454556
1.6680522574294038e-05,0.9425924738134213
1.6945292773886008e-05,0.9410466072142608
1.7210062973477977e-05,0.9394903573283157
1.7474833173069947e-05,0.9378898257379581
1.7739603372661913e-05,0.9362819516701804
1.8004373572253883e-05,0.9346745698029199
1.8269143771845853e-05,0.933043872664037
1.853391397143782e-05,0.9314393838418403
1.879868417102979e-05,0.9297664789949618
1.906345437062176e-05,0.9280954217765687
1.9328224570213728e-05,0.9264742233280495
1.9592994769805698e-05,0.9248088051191062
1.9857764969397664e-05,0.9231055051952619
2.0122535168989634e-05,0.9214381730074432
2.0387305368581604e-05,0.9197546308209638
2.065207556817357e-05,0.9180192359212301
2.091684576776554e-05,0.9162534298393553
2.118161596735751e-05,0.9145887846484945
2.144638616694948e-05,0.9128837651232145
2.171115636654145e-05,0.911223047131612
2.1975926566133415e-05,0.909501876239323
2.2240696765725385e-05,0.9078044043491983
2.2505466965317355e-05,0.9060361713129952
2.277023716490932e-05,0.9043075217520012
2.303500736450129e-05,0.9025544525047988
2.329977756409326e-05,0.9008002859199155
2.356454776368523e-05,0.8990524969388908
2.38293179632772e-05,0.8972922369066694
2.4094088162869166e-05,0.89556547447905
2.4358858362461136e-05,0.8938071320049519
2.4623628562053106e-05,0.8920500559027887
2.4888398761645072e-05,0.8903026252674905
2.5153168961237042e-05,0.8885707217664003
2.541793916082901e-05,0.8868534096241223
2.568270936042098e-05,0.8850744593796216
2.594747956001295e-05,0.8834020345184109
2.6212249759604917e-05,0.8816984245534688
2.6477019959196887e-05,0.8799809817706619
2.6741790158788857e-05,0.8781765887886382
2.7006560358380823e-05,0.8764659960869514
2.7271330557972793e-05,0.874739454854035
2.7536100757564762e-05,0.8729769408173126
2.7800870957156732e-05,0.8712114938429035
2.8065641156748702e-05,0.8694621604328805
2.8330411356340668e-05,0.8677424021879233
2.8595181555932638e-05,0.865986351419708
2.8859951755524608e-05,0.8642574915543423
2.9124721955116574e-05,0.8625108634572349
2.9389492154708544e-05,0.8607708475982099
2.9654262354300513e-05,0.8589932223661877
2.9919032553892483e-05,0.857244151647391
3.0183802753484453e-05,0.8555487201559453
3.044857295307642e-05,0.8538349957223761
3.071334315266839e-05,0.8520488838800039
3.097811335226036e-05,0.8503315112658778
3.1242883551852325e-05,0.8486196351890586
3.15076537514443e-05,0.8468249869634026
3.1772423951036264e-05,0.8451572698163847
3.203719415062823e-05,0.8434878515591835
3.2301964350220204e-05,0.8417417654121233
3.256673454981217e-05,0.8400898976612683
3.2831504749404136e-05,0.8384246003165156
3.309627494899611e-05,0.8366901225896064
3.3361045148588076e-05,0.8349496846413743
3.362581534818005e-05,0.8332022791388183
3.3890585547772015e-05,0.8315347512823229
3.415535574736398e-05,0.829824548585963
3.4420125946955955e-05,0.8281812354592257
3.468489614654792e-05,0.826553667529256
3.4949666346139894e-05,0.8249402450230726
3.521443654573186e-05,0.8233254641613539
3.547920674532383e-05,0.8216868932864407
