         1197522 function calls (1188493 primitive calls) in 27.453 seconds

   Ordered by: cumulative time
   List reduced from 2943 to 40 due to restriction <40>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.001    0.001   27.453   27.453 /net/scratch/hscra/plgrid/plgkongruencj/IonTracks-PulsedProton-Python/profiling/common.py:37(run_once)
        1   22.644   22.644   26.941   26.941 /net/scratch/hscra/plgrid/plgkongruencj/IonTracks-PulsedProton-Python/pulsed_ion_chamber/solver_numba_parallel.py:203(run_simulation_numba_parallel)
   719155    3.997    0.000    3.997    0.000 /net/scratch/hscra/plgrid/plgkongruencj/IonTracks-PulsedProton-Python/pulsed_ion_chamber/pulses.py:43(sample_xy_inside_cylinder)
   422/54    0.002    0.000    0.391    0.007 <frozen importlib._bootstrap>:1349(_find_and_load)
   413/45    0.001    0.000    0.390    0.009 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
   400/44    0.001    0.000    0.386    0.009 <frozen importlib._bootstrap>:911(_load_unlocked)
   972/54    0.001    0.000    0.385    0.007 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
   348/43    0.001    0.000    0.384    0.009 <frozen importlib._bootstrap_external>:989(exec_module)
   368/43    0.003    0.000    0.363    0.008 {built-in method builtins.exec}
        1    0.000    0.000    0.268    0.268 /net/scratch/hscra/plgrid/plgkongruencj/IonTracks-PulsedProton-Python/profiling/common.py:33(build_converged_config)
        1    0.000    0.000    0.268    0.268 /net/scratch/hscra/plgrid/plgkongruencj/IonTracks-PulsedProton-Python/pulsed_ion_chamber/config.py:80(__post_init__)
        2    0.000    0.000    0.266    0.133 /net/scratch/hscra/plgrid/plgkongruencj/IonTracks-PulsedProton-Python/pulsed_ion_chamber/stopping_power.py:18(E_MeV_u_to_LET_keV_um)
        1    0.000    0.000    0.261    0.261 /net/scratch/hscra/plgrid/plgkongruencj/IonTracks-PulsedProton-Python/venv/lib/python3.12/site-packages/pandas/__init__.py:1(<module>)
     2041    0.245    0.000    0.252    0.000 /net/scratch/hscra/plgrid/plgkongruencj/IonTracks-PulsedProton-Python/pulsed_ion_chamber/solver_numba_parallel.py:183(_precompute_track_gaussians)
        1    0.000    0.000    0.243    0.243 /net/scratch/hscra/plgrid/plgkongruencj/IonTracks-PulsedProton-Python/pulsed_ion_chamber/solver_numba_parallel.py:193(warmup_parallel)
        2    0.000    0.000    0.243    0.121 /net/scratch/hscra/plgrid/plgkongruencj/IonTracks-PulsedProton-Python/venv/lib/python3.12/site-packages/numba/core/dispatcher.py:342(_compile_for_args)
        2    0.000    0.000    0.236    0.118 /net/scratch/hscra/plgrid/plgkongruencj/IonTracks-PulsedProton-Python/venv/lib/python3.12/site-packages/numba/core/dispatcher.py:860(compile)
