         1197522 function calls (1188493 primitive calls) in 27.453 seconds

   Ordered by: cumulative time
   List reduced from 2943 to 40 due to restriction <40>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.000    0.000    0.236    0.118 /net/scratch/hscra/plgrid/plgkongruencj/IonTracks-PulsedProton-Python/venv/lib/python3.12/site-packages/numba/core/caching.py:713(load_overload)
   119/74    0.000    0.000    0.236    0.003 {built-in method builtins.__import__}
5826/5442    0.004    0.000    0.217    0.000 <frozen importlib._bootstrap>:1390(_handle_fromlist)
    253/2    0.000    0.000    0.217    0.108 /net/scratch/hscra/plgrid/plgkongruencj/IonTracks-PulsedProton-Python/venv/lib/python3.12/site-packages/numba/core/base.py:261(refresh)
      253    0.002    0.000    0.167    0.001 /net/scratch/hscra/plgrid/plgkongruencj/IonTracks-PulsedProton-Python/venv/lib/python3.12/site-packages/numba/core/cpu.py:102(load_additional_registries)
      348    0.002    0.000    0.163    0.000 <frozen importlib._bootstrap_external>:1062(get_code)
        1    0.000    0.000    0.148    0.148 /net/scratch/hscra/plgrid/plgkongruencj/IonTracks-PulsedProton-Python/venv/lib/python3.12/site-packages/pandas/core/api.py:1(<module>)
      348    0.001    0.000    0.106    0.000 <frozen importlib._bootstrap_external>:1183(get_data)
        1    0.000    0.000    0.079    0.079 /net/scratch/hscra/plgrid/plgkongruencj/IonTracks-PulsedProton-Python/venv/lib/python3.12/site-packages/pandas/core/groupby/__init__.py:1(<module>)
        1    0.000    0.000    0.078    0.078 /net/scratch/hscra/plgrid/plgkongruencj/IonTracks-PulsedProton-Python/venv/lib/python3.12/site-packages/pandas/core/groupby/generic.py:1(<module>)
    253/2    0.000    0.000    0.076    0.038 /net/scratch/hscra/plgrid/plgkongruencj/IonTracks-PulsedProton-Python/venv/lib/python3.12/site-packages/numba/core/typing/context.py:232(refresh)
    253/2    0.000    0.000    0.068    0.034 /net/scratch/hscra/plgrid/plgkongruencj/IonTracks-PulsedProton-Python/venv/lib/python3.12/site-packages/numba/core/typing/context.py:482(_load_builtins)
  2277/18    0.006    0.000    0.067    0.004 /net/scratch/hscra/plgrid/plgkongruencj/IonTracks-PulsedProton-Python/venv/lib/python3.12/site-packages/numba/core/typing/context.py:495(install_registry)
        1    0.000    0.000    0.063    0.063 /net/scratch/hscra/plgrid/plgkongruencj/IonTracks-PulsedProton-Python/venv/lib/python3.12/site-packages/pandas/core/frame.py:1(<module>)
      251    0.000    0.000    0.062    0.000 /net/scratch/hscra/plgrid/plgkongruencj/IonTracks-PulsedProton-Python/venv/lib/python3.12/site-packages/numba/core/typing/templates.py:1054(__init__)
      244    0.000    0.000    0.060    0.000 /net/scratch/hscra/plgrid/plgkongruencj/IonTracks-PulsedProton-Python/venv/lib/python3.12/site-packages/numba/core/typing/templates.py:1100(_init_once)
      251    0.001    0.000    0.059    0.000 /net/scratch/hscra/plgrid/plgkongruencj/IonTracks-PulsedProton-Python/venv/lib/python3.12/site-packages/numba/core/typing/templates.py:907(_get_target_registry)
      348    0.059    0.000    0.059    0.000 {built-in method _io.open_code}
        1    0.000    0.000    0.051    0.051 /net/scratch/hscra/plgrid/plgkongruencj/IonTracks-PulsedProton-Python/venv/lib/python3.12/site-packages/pandas/core/arrays/__init__.py:1(<module>)
     1031    0.002    0.000    0.046    0.000 /net/scratch/hscra/plgrid/plgkongruencj/IonTracks-PulsedProton-Python/venv/lib/python3.12/site-packages/numba/core/extending.py:137(decorate)
      408    0.002    0.000    0.044    0.000 <frozen importlib._bootstrap>:1240(_find_spec)
      348    0.005    0.000    0.044    0.000 <frozen importlib._bootstrap_external>:751(_compile_bytecode)
    50/26    0.000    0.000    0.044    0.002 <frozen importlib._bootstrap_external>:1295(exec_module)


